SL. NO.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN,SEX
231,Madhya Pradesh,Dewas,Manohar Untwal,SC,SC,Bharatiya Janata Party,Lotus,260313,MALE
232,Madhya Pradesh,Dhar,Savitri Thakur,ST,ST,Bharatiya Janata Party,Lotus,104328,FEMALE
233,Madhya Pradesh,Guna,Jyotiraditya M Scindia,GEN,GEN,Indian National Congress,Hand,120792,MALE
234,Madhya Pradesh,Gwalior,Narendra Singh Tomar,GEN,GEN,Bharatiya Janata Party,Lotus,29699,MALE
235,Madhya Pradesh,Hoshangabad,Uday Pratap Singh,GEN,GEN,Bharatiya Janata Party,Lotus,389960,MALE
236,Madhya Pradesh,Indore,Sumitra Mahajan (Tai),GEN,GEN,Bharatiya Janata Party,Lotus,466901,FEMALE
237,Madhya Pradesh,Jabalpur,Rakesh Singh,GEN,GEN,Bharatiya Janata Party,Lotus,208639,MALE
238,Madhya Pradesh,Khajuraho,Nagendra Singh,GEN,GEN,Bharatiya Janata Party,Lotus,247490,MALE
239,Madhya Pradesh,Khandwa,Nandkumar Singh Chouhan (Nandu Bhaiya),GEN,GEN,Bharatiya Janata Party,Lotus,259714,MALE
240,Madhya Pradesh,Khargone,Subhash Patel,ST,ST,Bharatiya Janata Party,Lotus,257879,MALE
241,Madhya Pradesh,Mandla,Faggan Singh Kulaste,ST,ST,Bharatiya Janata Party,Lotus,110469,MALE
242,Madhya Pradesh,Mandsour,Sudhir Gupta,GEN,GEN,Bharatiya Janata Party,Lotus,303649,MALE
243,Madhya Pradesh,Morena,Anoop Mishra,GEN,GEN,Bharatiya Janata Party,Lotus,132981,MALE
244,Madhya Pradesh,Rajgarh,Rodmal Nagar,GEN,GEN,Bharatiya Janata Party,Lotus,228737,MALE
245,Madhya Pradesh,Ratlam,Dileepsingh Bhuria,ST,ST,Bharatiya Janata Party,Lotus,108457,MALE
246,Madhya Pradesh,Rewa,Janardan Mishra,GEN,GEN,Bharatiya Janata Party,Lotus,168726,MALE
247,Madhya Pradesh,Sagar,Laxmi Narayan Yadav,GEN,GEN,Bharatiya Janata Party,Lotus,120737,MALE
248,Madhya Pradesh,Satna,Ganesh Singh,GEN,GEN,Bharatiya Janata Party,Lotus,8688,MALE
249,Madhya Pradesh,Shahdol,Dalpat Singh Paraste,ST,ST,Bharatiya Janata Party,Lotus,241301,MALE
250,Madhya Pradesh,Sidhi,Riti Pathak,GEN,GEN,Bharatiya Janata Party,Lotus,108046,FEMALE
251,Madhya Pradesh,Tikamgarh,Dr. Virendra Kumar,SC,SC,Bharatiya Janata Party,Lotus,208731,MALE
252,Madhya Pradesh,Ujjain,Prof. Chintamani Malviya,SC,SC,Bharatiya Janata Party,Lotus,309663,MALE
253,Madhya Pradesh,Vidisha,Sushma Swaraj,GEN,GEN,Bharatiya Janata Party,Lotus,410698,FEMALE
254,Maharashtra,Ahmadnagar ,Gandhi Dilipkumar Mansukhlal,GEN,GEN,Bharatiya Janata Party,Lotus,209122,MALE
255,Maharashtra,Akola,Dhotre Sanjay Shamrao,GEN,GEN,Bharatiya Janata Party,Lotus,203116,MALE
256,Maharashtra,Amravati ,Adsul Anandrao Vithoba,SC,SC,Shivsena,Bow & Arrow,137932,MALE
257,Maharashtra,Aurangabad,Chandrakant Bhaurao Khaire,GEN,GEN,Shivsena,Bow & Arrow,162000,MALE
258,Maharashtra,Baramati,Supriya Sule,GEN,GEN,Nationalist Congress Party,Clock,69719,FEMALE
259,Maharashtra,Beed,Munde Gopinathrao Pandurang,GEN,GEN,Bharatiya Janata Party,Lotus,136454,MALE
260,Maharashtra,Bhandara - Gondiya,Nanabhau Falgunrao Patole,GEN,GEN,Bharatiya Janata Party,Lotus,149254,MALE
261,Maharashtra,Bhiwandi,Kapil Moreshwar Patil,GEN,GEN,Bharatiya Janata Party,Lotus,109450,MALE
262,Maharashtra,Buldhana,Jadhav Prataprao Ganpatrao,GEN,GEN,Shivsena,Bow & Arrow,159579,MALE
263,Maharashtra,Chandrapur,Ahir Hansraj Gangaram,GEN,GEN,Bharatiya Janata Party,Lotus,236269,MALE
264,Maharashtra,Dhule,Dr. Bhamre Subhash Ramrao,GEN,GEN,Bharatiya Janata Party,Lotus,130723,MALE
265,Maharashtra,Dindori ,Chavan Harishchandra Deoram,ST,ST,Bharatiya Janata Party,Lotus,247619,MALE
266,Maharashtra,Gadchiroli-Chimur,Ashok Mahadeorao Nete,ST,ST,Bharatiya Janata Party,Lotus,236870,MALE
267,Maharashtra,Hatkanangle,Raju Shetty,GEN,GEN,Swabhimani Paksha,Whistle,177810,MALE
268,Maharashtra,Hingoli ,Rajeev Shankarrao Satav,GEN,GEN,Indian National Congress,Hand,1632,MALE
269,Maharashtra,Jalgaon,A.T. Nana Patil,GEN,GEN,Bharatiya Janata Party,Lotus,383525,MALE
270,Maharashtra,Jalna,Danve Raosaheb Dadarao,GEN,GEN,Bharatiya Janata Party,Lotus,206798,MALE
271,Maharashtra,Kalyan,Dr.Shrikant Eknath Shinde,GEN,GEN,Shivsena,Bow & Arrow,250749,MALE
272,Maharashtra,Kolhapur,Dhananjay Bhimrao Mahadik,GEN,GEN,Nationalist Congress Party,Clock,33259,MALE
273,Maharashtra,Latur ,Dr. Sunil Baliram Gaikwad,SC,SC,Bharatiya Janata Party,Lotus,253395,MALE
274,Maharashtra,Madha,Mohite Patil Vijaysinh Shankarrao,GEN,GEN,Nationalist Congress Party,Clock,25344,MALE
275,Maharashtra,Maval,Appa Alias Shrirang Chandu Barne,GEN,GEN,Shivsena,Bow & Arrow,157397,MALE
276,Maharashtra,Mumbai   South,Arvind Sawant,GEN,GEN,Shivsena,Bow & Arrow,128564,MALE
277,Maharashtra,Mumbai North,Gopal Chinayya Shetty,GEN,GEN,Bharatiya Janata Party,Lotus,446582,MALE
278,Maharashtra,Mumbai North Central,Poonam Mahajan Alias Poonam Vajendla Rao,GEN,GEN,Bharatiya Janata Party,Lotus,186771,FEMALE
279,Maharashtra,Mumbai North East,Kirit  Somaiya,GEN,GEN,Bharatiya Janata Party,Lotus,317122,MALE
280,Maharashtra,Mumbai North West,Gajanan Chandrakant Kirtikar,GEN,GEN,Shivsena,Bow & Arrow,183028,MALE
281,Maharashtra,Mumbai South Central,Rahul Ramesh Shewale,GEN,GEN,Shivsena,Bow & Arrow,138180,MALE
282,Maharashtra,Nagpur ,Gadkari Nitin Jairam,GEN,GEN,Bharatiya Janata Party,Lotus,284848,MALE
283,Maharashtra,Nanded,Ashok Shankarrao Chavan,GEN,GEN,Indian National Congress,Hand,81455,MALE
284,Maharashtra,Nandurbar ,Dr.Gavit Heena Vijaykumar,ST,ST,Bharatiya Janata Party,Lotus,106905,FEMALE
285,Maharashtra,Nashik,Godse Hemant Tukaram,GEN,GEN,Shivsena,Bow & Arrow,187336,MALE
286,Maharashtra,Osmanabad,Gaikwad Ravindra Vishwanath,GEN,GEN,Shivsena,Bow & Arrow,234325,MALE
287,Maharashtra,Palghar ,Adv. Chintaman Navasha Wanga,ST,ST,Bharatiya Janata Party,Lotus,239520,MALE
288,Maharashtra,Parbhani,Jadhav Sanjay (Bandu) Haribhau,GEN,GEN,Shivsena,Bow & Arrow,127155,MALE
289,Maharashtra,Pune,Anil Shirole,GEN,GEN,Bharatiya Janata Party,Lotus,315769,MALE
290,Maharashtra,Raigad,Anant Geete,GEN,GEN,Shivsena,Bow & Arrow,2110,MALE
291,Maharashtra,Ramtek ,Krupal Balaji Tumane,SC,SC,Shivsena,Bow & Arrow,175791,MALE
292,Maharashtra,Ratnagiri - Sindhudurg,Vinayak Bhaurao Raut,GEN,GEN,Shivsena,Bow & Arrow,150051,MALE
293,Maharashtra,Raver,Khadase Raksha Nikhil,GEN,GEN,Bharatiya Janata Party,Lotus,318068,FEMALE
294,Maharashtra,Sangli,Sanjaykaka Patil,GEN,GEN,Bharatiya Janata Party,Lotus,239292,MALE
295,Maharashtra,Satara,Shrimant Chh.  Udayanraje Pratapsinha Bhonsale,GEN,GEN,Nationalist Congress Party,Clock,366594,MALE
296,Maharashtra,Shirdi,Lokhande Sadashiv Kisan,SC,SC,Shivsena,Bow & Arrow,199922,MALE
297,Maharashtra,Shirur,Adhalrao Shivaji Dattatrey,GEN,GEN,Shivsena,Bow & Arrow,301814,MALE
298,Maharashtra,Solapur ,Sharad Bansode,SC,SC,Bharatiya Janata Party,Lotus,149674,MALE
299,Maharashtra,Thane,Vichare Rajan Baburao,GEN,GEN,Shivsena,Bow & Arrow,281299,MALE
300,Maharashtra,Wardha,Ramdas Chandrabhanji Tadas,GEN,GEN,Bharatiya Janata Party,Lotus,215783,MALE
301,Maharashtra,Yavatmal-Washim,Gawali Bhavana Pundlikrao,GEN,GEN,Shivsena,Bow & Arrow,93816,FEMALE
302,Manipur,Inner Manipur,Dr. Thokchom Meinya,GEN,GEN,Indian National Congress,Hand,94674,MALE
303,Manipur,Outer Manipur,Thangso Baite,ST,ST,Indian National Congress,Hand,15637,MALE
304,Meghalaya,Shillong,Vincent H. Pala,ST,ST,Indian National Congress,Hand,40379,MALE
305,Meghalaya,Tura ,Purno Agitok Sangma,ST,ST,National Peoples Party,Book,39716,MALE
306,Mizoram,Mizoram,C. L. Ruala,ST,ST,Indian National Congress,Hand,6154,MALE
307,Nagaland,Nagaland,Neiphiu Rio,GEN,ST,Naga Peoples Front,Cock,400225,MALE
308,Nct Of Delhi,Chandni Chowk                 ,Dr. Harsh Vardhan,GEN,GEN,Bharatiya Janata Party,Lotus,136320,MALE
309,Nct Of Delhi,East Delhi                    ,Maheish Girri,GEN,GEN,Bharatiya Janata Party,Lotus,190463,MALE
310,Nct Of Delhi,New Delhi                     ,Meenakashi Lekhi,GEN,GEN,Bharatiya Janata Party,Lotus,162708,FEMALE
311,Nct Of Delhi,North East Delhi              ,Manoj Tiwari,GEN,GEN,Bharatiya Janata Party,Lotus,144084,MALE
312,Nct Of Delhi,North West Delhi              ,Udit Raj,SC ,SC,Bharatiya Janata Party,Lotus,106802,MALE
313,Nct Of Delhi,South Delhi                   ,Ramesh Bidhuri,GEN,GEN,Bharatiya Janata Party,Lotus,107000,MALE
314,Nct Of Delhi,West Delhi                    ,Parvesh Sahib Singh Verma,GEN,GEN,Bharatiya Janata Party,Lotus,268586,MALE
315,Odisha,Aska,Ladu Kishore Swain,GEN,GEN,Biju Janata Dal,Conch,311997,
316,Odisha,Balasore,Rabindra Kumar Jena,GEN,GEN,Biju Janata Dal,Conch,141825,
317,Odisha,Bargarh,Prabhas Kumar Singh,GEN,GEN,Biju Janata Dal,Conch,11178,
318,Odisha,Berhampur,Sidhant Mohapatra,GEN,GEN,Biju Janata Dal,Conch,127720,
319,Odisha,Bhadrak ,Arjun Charan Sethi,SC,SC,Biju Janata Dal,Conch,179359,
320,Odisha,Bhubaneswar,Prasanna Kumar Patasani,GEN,GEN,Biju Janata Dal,Conch,189477,
321,Odisha,Bolangir,Kalikesh Narayan Singh Deo,GEN,GEN,Biju Janata Dal,Conch,104299,
322,Odisha,Cuttack,Bhartruhari Mahatab,GEN,GEN,Biju Janata Dal,Conch,306762,
323,Odisha,Dhenkanal,Tathagata Satpathy,GEN,GEN,Biju Janata Dal,Conch,137340,
324,Odisha,Jagatsinghpur ,Kulamani Samal,SC,SC,Biju Janata Dal,Conch,276394,
325,Odisha,Jajpur ,Rita Tarai,SC,SC,Biju Janata Dal,Conch,320271,
326,Odisha,Kalahandi,Arka Keshari Deo,GEN,GEN,Biju Janata Dal,Conch,56347,
327,Odisha,Kandhamal,Hemendra Chandra Singh,GEN,GEN,Biju Janata Dal,Conch,181017,
328,Odisha,Kendrapara ,Baijayant Panda,GEN,GEN,Biju Janata Dal,Conch,209300,
329,Odisha,Keonjhar ,Sakuntala Laguri,ST,ST,Biju Janata Dal,Conch,157317,
330,Odisha,Koraput ,Jhina Hikaka,ST,ST,Biju Janata Dal,Conch,19328,
331,Odisha,Mayurbhanj ,Rama Chandra Hansdah,ST,ST,Biju Janata Dal,Conch,122866,
332,Odisha,Nabarangpur ,Balabhadra Majhi,ST,ST,Biju Janata Dal,Conch,2042,
333,Odisha,Puri,Pinaki Misra,GEN,GEN,Biju Janata Dal,Conch,263361,
334,Odisha,Sambalpur,Nagendra Kumar Pradhan,GEN,GEN,Biju Janata Dal,Conch,30576,
335,Odisha,Sundargarh ,Jual @ Juel Oram,ST,ST,Bharatiya Janata Party,Lotus,18829,
336,Puducherry,Puducherry,R. Radhakrishnan,GEN,GEN,All India N.R. Congress,Jug,60854,MALE
337,Punjab,Amritsar,Captain Amarinder Singh,GEN,GEN,Indian National Congress,Hand,102770,MALE
338,Punjab,Anandpur Sahib,Prem Singh Chandumajra,GEN,GEN,Shiromani Akali Dal,Scales,23697,MALE
339,Punjab,Bathinda,Harsimrat Kaur Badal,GEN,GEN,Shiromani Akali Dal,Scales,19395,FEMALE
340,Punjab,Faridkot,Prof. Sadhu Singh,SC,SC,Aam Aadmi Party,Broom,172516,MALE
341,Punjab,Fatehgarh Sahib,Harinder Singh Khalsa,SC,SC,Aam Aadmi Party,Broom,54144,MALE
342,Punjab,Firozpur,Sher Singh Ghubaya,GEN,SC,Shiromani Akali Dal,Scales,31420,MALE
343,Punjab,Gurdaspur,Vinod Khanna,GEN,GEN,Bharatiya Janata Party,Lotus,136065,MALE
344,Punjab,Hoshiarpur,Vijay Sampla,SC,SC,Bharatiya Janata Party,Lotus,13582,MALE
345,Punjab,Jalandhar,Santokh Singh Chaudhary,SC,SC,Indian National Congress,Hand,70981,MALE
346,Punjab,Khadoor Sahib,Ranjit Singh Brahmpura,GEN,GEN,Shiromani Akali Dal,Scales,100569,MALE
347,Punjab,Ludhiana,Ravneet Singh Bittu,GEN,GEN,Indian National Congress,Hand,19709,MALE
348,Punjab,Patiala,Dr. Dharam Vira Gandhi,GEN,GEN,Aam Aadmi Party,Broom,20942,MALE
349,Punjab,Sangrur,Bhagwant Mann,GEN,GEN,Aam Aadmi Party,Broom,211721,MALE
350,Rajasthan,Ajmer,Sanwar Lal Jat ,GEN,GEN,Bharatiya Janata Party,Lotus,171983,MALE
351,Rajasthan,Alwar,Chand Nath,GEN,GEN,Bharatiya Janata Party,Lotus,283895,MALE
352,Rajasthan,Banswara,Manshankar Ninama ,ST,ST,Bharatiya Janata Party,Lotus,91916,MALE
353,Rajasthan,Barmer,Col. Sona Ram,GEN,GEN,Bharatiya Janata Party,Lotus,87461,MALE
354,Rajasthan,Bharatpur,Bahadur Singh Koli,SC,SC,Bharatiya Janata Party,Lotus,245468,MALE
355,Rajasthan,Bhilwara,Subhash Baheria,GEN,GEN,Bharatiya Janata Party,Lotus,246264,MALE
356,Rajasthan,Bikaner,Arjun Ram Meghwal ,SC,SC,Bharatiya Janata Party,Lotus,308079,MALE
357,Rajasthan,Chittorgarh,Chandra Prakash Joshi,GEN,GEN,Bharatiya Janata Party,Lotus,316857,MALE
358,Rajasthan,Churu,Rahul Kaswan ,GEN,GEN,Bharatiya Janata Party,Lotus,294739,MALE
359,Rajasthan,Dausa,Harish Chandra Meena ,ST,ST,Bharatiya Janata Party,Lotus,45404,MALE
360,Rajasthan,Ganganagar,Nihalchand,SC,SC,Bharatiya Janata Party,Lotus,291741,MALE
361,Rajasthan,Jaipur,Ramcharan Bohara,GEN,GEN,Bharatiya Janata Party,Lotus,539345,MALE
362,Rajasthan,Jaipur Rural,Rajyavardhan Singh Rathore ,GEN,GEN,Bharatiya Janata Party,Lotus,332896,MALE
363,Rajasthan,Jalore,Devji Patel ,GEN,GEN,Bharatiya Janata Party,Lotus,381145,MALE
364,Rajasthan,Jhalawar-Baran,Dushyant Singh,GEN,GEN,Bharatiya Janata Party,Lotus,281546,MALE
365,Rajasthan,Jhunjhunu,Santosh Ahlawat,GEN,GEN,Bharatiya Janata Party,Lotus,233835,FEMALE
366,Rajasthan,Jodhpur,Gajendrasingh Shekhawat ,GEN,GEN,Bharatiya Janata Party,Lotus,410051,MALE
367,Rajasthan,Karauli-Dholpur,Manoj Rajoriya,SC,SC,Bharatiya Janata Party,Lotus,27216,MALE
368,Rajasthan,Kota,Om Birla ,GEN,GEN,Bharatiya Janata Party,Lotus,200782,MALE
369,Rajasthan,Nagaur,C R Choudhary,GEN,GEN,Bharatiya Janata Party,Lotus,75218,MALE
370,Rajasthan,Pali,P P Chaudhary,GEN,GEN,Bharatiya Janata Party,Lotus,399039,MALE
371,Rajasthan,Rajsamand,Hariom Singh Rathore,GEN,GEN,Bharatiya Janata Party,Lotus,395705,MALE
372,Rajasthan,Sikar,Sumedhanand Saraswati ,GEN,GEN,Bharatiya Janata Party,Lotus,239196,MALE
373,Rajasthan,Tonk-Sawai Madhopur,Sukhbir Singh Jaunapuria ,GEN,GEN,Bharatiya Janata Party,Lotus,135506,MALE
374,Rajasthan,Udaipur,Arjunlal Meena ,ST,ST,Bharatiya Janata Party,Lotus,236762,MALE
375,Sikkim,Sikkim,Prem Das Rai,GEN,GEN,Sikkim Democratic Front,Umbrella,41742,MALE
376,Tamil Nadu,Arakkonam,"Hari, G.",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,240766,MALE
377,Tamil Nadu,Arani,V.Elumalai,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,243844,MALE
378,Tamil Nadu,Chennai Central,S.R. Vijayakumar,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,45841,MALE
379,Tamil Nadu,Chennai North,Venkatesh Babu .T.G,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,99704,MALE
380,Tamil Nadu,Chennai South,Dr. J. Jayavardhan,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,135575,MALE
381,Tamil Nadu,Chidambaram ,"Chandrakasi, M",SC,SC,All India Anna Dravida Munnetra Kazhagam,Two Leaves,128495,MALE
382,Tamil Nadu,Coimbatore,"Nagarajan, P.",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,42016,MALE
383,Tamil Nadu,Cuddalore ,Arunmozhithevan.A,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,203125,MALE
384,Tamil Nadu,Dharmapuri,Anbumani Ramadoss,GEN,GEN,Pattali Makkal Katchi,Mango,77146,MALE
385,Tamil Nadu,Dindigul,Udhaya Kumar .M,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,127845,MALE
386,Tamil Nadu,Erode,Selvakumara Chinnayan S,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,211563,MALE
387,Tamil Nadu,Kallakurichi,Kamaraj. K,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,223507,MALE
388,Tamil Nadu,Kancheepuram ,Maragatham  K,SC,SC,All India Anna Dravida Munnetra Kazhagam,Two Leaves,146866,FEMALE
389,Tamil Nadu,Kanniyakumari,Radhakrishnan P.,GEN,GEN,Bharatiya Janata Party,Lotus,128662,MALE
390,Tamil Nadu,Karur,"Thambidurai,M.",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,195247,MALE
391,Tamil Nadu,Krishnagiri,Ashok Kumar.K,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,206591,MALE
392,Tamil Nadu,Madurai,R.Gopalakrishnan,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,199424,MALE
393,Tamil Nadu,Mayiladuthurai,Bharathi Mohan R.K,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,277050,MALE
394,Tamil Nadu,Nagapattinam ,Gopal. Dr. K,SC,SC,All India Anna Dravida Munnetra Kazhagam,Two Leaves,106079,MALE
395,Tamil Nadu,Namakkal,Sundaram P.R,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,294374,MALE
396,Tamil Nadu,Nilgiris ,"Gopalakrishnan, C.",SC,SC,All India Anna Dravida Munnetra Kazhagam,Two Leaves,104940,MALE
397,Tamil Nadu,Perambalur,"Marutharajaa, R.P.",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,213048,MALE
398,Tamil Nadu,Pollachi,Mahendran.C,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,140974,MALE
399,Tamil Nadu,Ramanathapuram,Anwar Raajhaa. A ,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,119324,MALE
400,Tamil Nadu,Salem,Pannerselvam.V,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,267610,MALE
401,Tamil Nadu,Sivaganga,Senthilnathan Pr,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,229385,MALE
402,Tamil Nadu,Sriperumbudur,"Ramachandran, K.N. Thiru",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,102646,MALE
403,Tamil Nadu,Tenkasi ,Vasanthi.M,SC,SC,All India Anna Dravida Munnetra Kazhagam,Two Leaves,161774,FEMALE
404,Tamil Nadu,Thanjavur,Parasuraman.K,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,144119,MALE
405,Tamil Nadu,Theni ,"Parthipan, R.",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,314532,MALE
406,Tamil Nadu,Thiruvallur ,Venugopal.P.(Dr),SC,SC,All India Anna Dravida Munnetra Kazhagam,Two Leaves,323430,MALE
407,Tamil Nadu,Thoothukkudi,Jeyasingh Thiyagaraj Natterjee.J,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,124002,MALE
408,Tamil Nadu,Tiruchirappalli,Kumar.P,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,150476,MALE
409,Tamil Nadu,Tirunelveli,Prabakaran.K.R.P,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,126099,MALE
410,Tamil Nadu,Tiruppur,V.Sathyabama,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,179315,FEMALE
411,Tamil Nadu,Tiruvannamalai,Vanaroja R,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,168606,FEMALE
412,Tamil Nadu,Vellore,"Senguttuvan, B.",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,59393,MALE
413,Tamil Nadu,Viluppuram,Rajendran S,SC,SC,All India Anna Dravida Munnetra Kazhagam,Two Leaves,193367,MALE
414,Tamil Nadu,Virudhunagar,Radhakrishnan T,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,145551,MALE
415,Tripura,Tripura East,Jitendra Chaudhury,ST,ST,Communist Party Of India  (Marxist),"Hammer, Sickle and Star",484358,MALE
416,Tripura,Tripura West,Sankar Prasad Datta,GEN,GEN,Communist Party Of India  (Marxist),"Hammer, Sickle and Star",503486,MALE
417,Uttar Pradesh,Agra,Dr. Ram Shankar Katheria,SC,SC,Bharatiya Janata Party,Lotus,300263,MALE
418,Uttar Pradesh,Akbarpur,Devendra Singh @ Bhole Singh,GEN,GEN,Bharatiya Janata Party,Lotus,278997,MALE
419,Uttar Pradesh,Aligarh,Satish Kumar,GEN,GEN,Bharatiya Janata Party,Lotus,286736,MALE
420,Uttar Pradesh,Allahabad,Shyama Charan Gupta,GEN,GEN,Bharatiya Janata Party,Lotus,62009,MALE
421,Uttar Pradesh,Ambedkar Nagar,Hari Om Pandey,GEN,GEN,Bharatiya Janata Party,Lotus,139429,MALE
422,Uttar Pradesh,Amethi,Rahul Gandhi,GEN,GEN,Indian National Congress,Hand,107903,MALE
423,Uttar Pradesh,Amroha,Kanwar Singh Tanwar,GEN,GEN,Bharatiya Janata Party,Lotus,158214,MALE
424,Uttar Pradesh,Aonla,Dharmendra Kumar,GEN,GEN,Bharatiya Janata Party,Lotus,138429,MALE
425,Uttar Pradesh,Azamgarh,Mulayam Singh Yadav,GEN,GEN,Samajwadi Party,Bicycle,63204,MALE
426,Uttar Pradesh,Badaun,Dharmendra Yadav,GEN,GEN,Samajwadi Party,Bicycle,166347,MALE
427,Uttar Pradesh,Baghpat,Dr. Satya Pal Singh,GEN,GEN,Bharatiya Janata Party,Lotus,209866,MALE
428,Uttar Pradesh,Bahraich,Sadhvi Savitri Bai Foole,SC,SC,Bharatiya Janata Party,Lotus,95645,FEMALE
429,Uttar Pradesh,Ballia,Bharat Singh,GEN,GEN,Bharatiya Janata Party,Lotus,139434,MALE
430,Uttar Pradesh,Banda,Bhairon Prasad Mishra,GEN,GEN,Bharatiya Janata Party,Lotus,115788,MALE
431,Uttar Pradesh,Bansgaon,Kamlesh Paswan,SC,SC,Bharatiya Janata Party,Lotus,189516,MALE
432,Uttar Pradesh,Barabanki,Priyanka Singh Rawat,SC,SC,Bharatiya Janata Party,Lotus,211878,FEMALE
433,Uttar Pradesh,Bareilly,Santosh Kumar Gangwar,GEN,GEN,Bharatiya Janata Party,Lotus,240685,MALE
434,Uttar Pradesh,Basti,Harish Chandra  Alias  Harish Dwivedi,GEN,GEN,Bharatiya Janata Party,Lotus,33562,MALE
435,Uttar Pradesh,Bhadohi,Virendra Singh,GEN,GEN,Bharatiya Janata Party,Lotus,158141,MALE
436,Uttar Pradesh,Bijnor,Kunwar Bhartendra,GEN,GEN,Bharatiya Janata Party,Lotus,205774,MALE
437,Uttar Pradesh,Bulandshahr,Bhola Singh,SC,SC,Bharatiya Janata Party,Lotus,421973,MALE
438,Uttar Pradesh,Chandauli,Dr Mahendra Nath Pandey,GEN,GEN,Bharatiya Janata Party,Lotus,156756,MALE
439,Uttar Pradesh,Deoria,Kalraj Mishra,GEN,GEN,Bharatiya Janata Party,Lotus,265386,MALE
440,Uttar Pradesh,Dhaurahra,Rekha,GEN,GEN,Bharatiya Janata Party,Lotus,125675,FEMALE
441,Uttar Pradesh,Domariyaganj,Jagdambika Pal,GEN,GEN,Bharatiya Janata Party,Lotus,103588,MALE
442,Uttar Pradesh,Etah,Rajveer Singh (Raju Bhaiya),GEN,GEN,Bharatiya Janata Party,Lotus,201001,MALE
443,Uttar Pradesh,Etawah,Ashok Kumar Doharey,SC,SC,Bharatiya Janata Party,Lotus,172946,MALE
444,Uttar Pradesh,Faizabad,Lallu Singh,GEN,GEN,Bharatiya Janata Party,Lotus,282775,MALE
445,Uttar Pradesh,Farrukhabad,Mukesh Rajput,GEN,GEN,Bharatiya Janata Party,Lotus,150502,MALE
446,Uttar Pradesh,Fatehpur,Niranjan Jyoti,GEN,GEN,Bharatiya Janata Party,Lotus,187206,FEMALE
447,Uttar Pradesh,Fatehpur Sikri,Babulal,GEN,GEN,Bharatiya Janata Party,Lotus,173106,MALE
448,Uttar Pradesh,Firozabad,Akshay Yadav,GEN,GEN,Samajwadi Party,Bicycle,114059,MALE
449,Uttar Pradesh,Gautam Buddha Nagar,Dr.Mahesh  Sharma,GEN,GEN,Bharatiya Janata Party,Lotus,280212,MALE
450,Uttar Pradesh,Ghaziabad,Vijay Kumar Singh,GEN,GEN,Bharatiya Janata Party,Lotus,567260,MALE
451,Uttar Pradesh,Ghazipur,Manoj Sinha,GEN,GEN,Bharatiya Janata Party,Lotus,32452,MALE
452,Uttar Pradesh,Ghosi,Harinarayan Rajbhar,GEN,GEN,Bharatiya Janata Party,Lotus,146015,MALE
453,Uttar Pradesh,Gonda,Kirti Vardhan Singh,GEN,GEN,Bharatiya Janata Party,Lotus,160412,MALE
454,Uttar Pradesh,Gorakhpur,Adityanath,GEN,GEN,Bharatiya Janata Party,Lotus,312783,MALE
455,Uttar Pradesh,Hamirpur,Kunwar Pushpendra Singh Chandel,GEN,GEN,Bharatiya Janata Party,Lotus,266788,MALE
