SR. NO.,PARTY TYPE,ABBREVIATION,PARTY SYMBOL,PARTY NAME
418,U,SJD,Ring,Socialist Janata (Democratic)
419,U,SJP(R),"Battery Torch,Diesel Pump",Samajwadi Janata Party (Rashtriya)
420,U,SJPA,Gas Cylinder,Sarva Janata Party
421,U,skd,Scissors,Samata Kranti Dal
422,U,SKLP,Balloon,Sarvajan Kalyan Loktantrik Party
423,U,SKM,Table Lamp,Sikkim Krantikari Morcha
424,U,SLAP,Bat,Social Action Party
425,U,SLP(L),BUCKET,Socialist Party (Lohia)
426,U,SP(I),"Air Conditioner,Battery Torch,Dolli,Kite,Television",Socialist Party (India)
427,U,SPP,"Bat,Batsman,Bottle",Samyak Parivartan Party
428,U,sps,"Bat,Kite",Samaikyandhra Parirakshana Samithi
429,U,SRP,"Dish Antenna,Telephone",Socialist Republican Party
430,U,SSAD,Chappals,Sanyukt Samajwadi Dal
431,U,SSBD,Candles,Shakti Sena (Bharat Desh)
432,U,SSD,"Carrot,Saw",Shoshit Samaj Dal
433,U,SSKP,Auto- Rickshaw,Sarva Samaj Kalyan Party
434,U,SSPD,Candles,SARVAJAN SAMAJ PARTY (D)
435,U,ssrd,Grapes,Sanatan Sanskriti Raksha Dal
436,U,STR,Electric Pole,Samaikya Telugu Rajyam
437,U,SUCI,"Battery Torch,Glass Tumbler,Kite",SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
438,U,SVPP,Kite,Sardar Vallabhbhai Patel Party
439,U,SVRP,Sewing Machine,Shivrajya Party
440,U,SWJP,"Battery Torch,Black Board",Samajwadi Jan Parishad
441,U,SWP,Whistle,Swabhimani Paksha
442,U,SWPI,"Battery Torch,Gas Stove,Pen Nib with Seven Rays",Swarajya Party Of India
443,U,SWSP,Pressure Cooker,Swatantra Samaj Party
444,U,TECPI,Auto- Rickshaw,Telangana Communist Party of India
445,U,TLP,Gas Cylinder,Telangana Loksatta Party
446,U,TNMC,"Frying Pan,Pen Nib with Seven Rays",Tamil Nadu Makkal Congress
447,U,TPGC,Candles,Tripura Pragatishil Gramin Congress
448,U,TRMRPPI,Harmonium,The Religion of Man Revolving Political Party of India
449,U,TTNC,Batsman,Thrinamool Tamil Nadu Congress
450,U,UCPI,"Dao,Ring",United Communist Party of India
451,U,UMK,Gas Cylinder,Ulzaipali Makkal Katchy
452,U,UPI,Ceiling Fan,Union Party of India
453,U,UPP,Scissors,UTTARAKHAND PARIVARTAN PARTY
454,U,UPRP,Sewing Machine,Uttar Pradesh Republican Party
455,U,VAJP,Walking Stick,Vanchit Jamat Party
456,U,VCK,Ring,Viduthalai Chiruthaigal Katchi
457,U,VHS,Batsman,Vishva Hindustani Sangathan
458,U,VIP,Gas Cylinder,VANCHITSAMAJ INSAAF PARTY
459,U,VJCP,Chappals,Vichara Jagruthi Congress Paksha
460,U,VoP,Candles,Voters Party
461,U,VSP,Gas Stove,Vishva SHakti Party
462,U,WPOI,"Auto- Rickshaw,Battery Torch,BUCKET,Ceiling Fan,Gas Cylinder,Kite,Ring,Scissors",Welfare Party Of India
463,U,YSRCP,Ceiling Fan,Yuvajana Sramika Rythu Congress Party
464,U,YuS,Candles,Yuva Sarkar
465,Z,IND,"Air Conditioner,Almirah,Auto- Rickshaw,Balloon,Basket containing Fruits,Bat,Batsman,Battery Torch,BELT,Black Board,Bottle,Bread,Brief Case,Brush,BUCKET,Cake, CALCULATOR, Ca Board,Carrot,Cauliflowe
r,Ceiling
Fan,Chappals,CHESS
BOARD,Coat,Coconut,
Cot,Cup &amp;
Saucer,CUTTING
PLIERS,Dao,Diesel
Pump,Dish
Antenna,Dolli,Electric
Pole,Envelope,FLUTE,F
rock,Frying
Pan,Funnel,Gas
Cylinder,Gas
Stove,Glass
Tumbler,Grapes,Green
Chilli,Harmonium,Hat,H
elmet,HOCKEY &amp;
BALL,Ice
Cream,Iron,Kettle,Kite,L
ady Purse,Letter
Box,Mixee,Nail
Cutter,Neck Tie,Pen Nib
with Seven Rays,Pen
Stand,PENCIL
SHARPNER,Plate
Stand,Pot,Pressure
Cooker,Razor,Refrigerat
or,Ring,Saw,School
Bag,Scissors,Sewing
Machine,Shuttle,Slate,S
tethoscope,Stool,Table, Table
Lamp,Telephone,Televis
ion,Tent,Tooth
Brush,Trumpet,Violin,W
alking
Stick,Whistle,Window Case,Brush,BUCKET,Cake,CALCULATOR,Camera,Candles,Car,CARPET,Carrom Board,Carrot,Cauliflower,Ceiling Fan,Chappals,CHESS BOARD,Coat,Coconut,Cot,Cup &amp; Saucer,CUTTING PLIERS,Dao,Diesel Pump,Dish Antenna,Dolli,Electric Pole,Envelope,FLUTE,Frock,Frying Pan,Funnel,Gas Cylinder,Gas Stove,Glass Tumbler,Grapes,Green Chilli,Harmonium,Hat,Helmet,HOCKEY &amp; BALL,Ice Cream,Iron,Kettle,Kite,Lady Purse,Letter Box,Mixee,Nail Cutter,Neck Tie,Pen Nib with Seven Rays,Pen Stand,PENCIL SHARPNER,Plate Stand,Pot,Pressure Cooker,Razor,Refrigerator,Ring,Saw,School Bag,Scissors,Sewing Machine,Shuttle,Slate,Stethoscope,Stool,Table,Table Lamp,Telephone,Television,Tent,Tooth Brush,Trumpet,Violin,Walking Stick,Whistle,Window",Independent
466,Z1,NOTA,NOTA,None of the Above
