SR. NO.,PARTY TYPE,ABBREVIATION,PARTY SYMBOL,PARTY NAME
97,U,ASP,"Frock,Pen Stand",Ambedkar Samaj Party
98,U,ATBP,Bat,Atulya Bharat Party
99,U,AVIRP,"Bat,Electric Pole,Kettle",AARAKSHAN VIRODHI PARTY
100,U,AwVP,Candles,Awami Vikas Party
101,U,BA S D,Glass Tumbler,Bahujan Sangharshh Dal
102,U,BaSaP,"Balloon,Walking Stick",Bhartiya  Sarvjan Party
103,U,BaVaP,Cup &amp; Saucer,Bhartiya Vanchitsamaj Party
104,U,BBC,Auto- Rickshaw,Bharatiya Bahujan Congress
105,U,BBM,Cup &amp; Saucer,Bharipa Bahujan Mahasangh
106,U,BBMP,Envelope,Bharat Bhrashtachar Mitao Party
107,U,BBPSP,Batsman,Brihattar Bharat Prajatantra Sewa Party
108,U,BC,"Almirah,Glass Tumbler",Bundelkhand Congress
109,U,BCBDP,Candles,B.C.Bharata Desam Party
110,U,BCP,BUCKET,Bhartiya Chaitanya Party
111,U,BCUF,Chappals,B. C. United Front
112,U,BDBRAJP,"Balloon,Ceiling Fan,Diesel Pump,Sewing Machine",Bharatiya Dr. B.R.Ambedkar Janta Party
113,U,BED,"Auto- Rickshaw,Cauliflower",Bharatiya Ekta Dal
114,U,BEMP,"Battery Torch,Kite",Bhartiya Ekta Manch Party
115,U,BGTD,"Bat,BUCKET,Coconut",Bharatiya Gaon Taj Dal
116,U,BHBP,Sewing Machine,Bharatiya Bahujan Party
117,U,BhJaSP,Ceiling Fan,Bharti Jan Suraksha Party
118,U,bhmm,Auto- Rickshaw,Bhrashtachar Mukti Morcha
119,U,BhNaP,Almirah,Bharatiya Navyuvak Party
120,U,BHNKP,Ceiling Fan,Bharatiya Nav Kranti Party
121,U,BhNP,Black Board,Bharat Nirman Party
122,U,bhp,Sewing Machine,Bhartiya Party
123,U,BHPP,Battery Torch,Bharatiya Peoples Party
124,U,BhSMP,Camera,Bharatiya Sant Mat Party
125,U,BHSSP,Batsman,Bhartiya Satya Sangharsh Party
126,U,BIP,Balloon,Bharatiya Inqalab Party
127,U,bjdi,Hat,Bhartiya Janta Dal (Integrated)
128,U,BJJD,Kite,Bhartiya Jantantrik Janata Dal
129,U,BJKD,Candles,Bharatiya Jan Kranti Dal (Democratic)
130,U,BJKVP,Cup &amp; Saucer,Bajjikanchal Vikas Party
131,U,BJM,Hat,Bhartiya Jan Manch
132,U,BJPARTY,Gas Cylinder,Bihar Janta Party
133,U,BJSP,Coconut,Bharatiya Jawala Shakti Paksha 
134,U,bjyp,Balloon,Bhartiya Jan Yug Party
135,U,BKLJP,Glass Tumbler,Bharat Ki Lok Jimmedar Party
136,U,BKP,Auto- Rickshaw,Bahujan Kranti Party (Marxwad-Ambedkarwad)
137,U,BKPP,Television,Bharatiya Kisan Parivartan Party
138,U,BKrD,"FLUTE,Harmonium",Bhartiya Krishak Dal
139,U,BKSL,Diesel Pump,Bharatiya Kisan Sena Loktantrik
140,U,BLSP,Ceiling Fan,Rashtriya Lok Samta Party
141,U,BMF,"Almirah,Kettle,Kite",Bharatiya Momin Front
142,U,BMNSP,Whistle,Bharatiya Mool Niwasi Samaj Party
143,U,BMSM,Basket containing Fruits,Bharatiya Minorities Suraksha Mahasangh
144,U,BMUP,"Air Conditioner,Cart,Cot",Bahujan Mukti Party
145,U,BNIP,Candles,Bhartiya Naujawan Inklav Party
146,U,BNJD,Kite,Bharatiya National Janta Dal
147,U,BNNP,Coconut,Bharat Nav Nirman Party
148,U,bns,Dish Antenna,Bhartiya Navjawan Sena (Paksha)
149,U,BPC,"Gas Cylinder,Glass Tumbler",Bhartiya Pragatisheel Congress
150,U,BRABSVP,Brush,Bharatiya Rashtriya Bahujan Samaj Vikas Party
151,U,BRAVP,FLUTE,Braj Vikas Party
152,U,BRMD,Television,Bharatiya Rashtriya Mazdoor Dal
153,U,BRPI,Batsman,Bhartiya Republican Party (Insan)
154,U,BRPP,Stool,Bharatiya Republican Paksha
155,U,BRVP,Almirah,Bhartiya Vikas Party
156,U,BSCP,"Coconut,Conch,FLUTE",Bhartiya Shakti Chetna Party
157,U,BSD,Walking Stick,Bharatiya Samaj Dal
158,U,BSDL,"Cup &amp; Saucer,Kite",Bahujan Suraksha Dal
159,U,BSDS,Ceiling Fan,Bhartiya Shramik Dal Socialist
160,U,BSKD,Walking Stick,Bhartiya Samajik Kranti Dal
161,U,BSKP,Sewing Machine,Bharatiya Sarvodaya Kranti Party
162,U,BSP(A),"Battery Torch,Diesel Pump,Sewing Machine,Table",Bahujan Samaj Party  (Ambedkar)
163,U,BSP(K),"Candles,Sewing Machine",Bahujan Sangharsh Party (Kanshiram)
164,U,BVA,Whistle,Bahujan Vikas Aaghadi
165,U,BVLP,Balloon,Bharat Vishal Party
166,U,BVM,"Basket containing Fruits,Bat",Bharat Vikas Morcha
167,U,BYS,Candles,Bharatiya Yuva Shakti
168,U,chp,Kite,Chhattisgarhiya Party
169,U,CPI(ML)(L),"Auto- Rickshaw,Cup &amp; Saucer,Flag with Three Stars,Kite",Communist Party of India  (Marxist-Leninist)  (Liberation)
170,U,CPIM,Saw,Communist Party of India (Marxist-Leninist) Red Star
171,U,CSM,"Coconut,Whistle",Chhattisgarh Swabhiman Manch
172,U,DABAP,Auto- Rickshaw,Dalita Bahujana Party
173,U,DaP,Candles,Dharmarajya Paksha
174,U,DaVP,Almirah,Dalit Vikas Party(Bharat)
175,U,DBSP,"Batsman,Kite",Democratic Bharatiya Samaj Party
176,U,DCP,Telephone,Democratic Congress Party
177,U,DESEP,Stool,Democratic Secular Party
178,U,DFBL,"Auto- Rickshaw,Ring",Desiya Forward Bloc
179,U,DND,Shuttle,Dharam Nirpeksh Dal
180,U,DNP,Camera,Deshbhakt Nirman Party
181,U,DPPS,Coconut,Democratic Prajakranthi Party Secularist
182,U,EKSP,"Cup &amp; Saucer,Walking Stick",Eklavya Samaj Party
183,U,ESKP,Battery Torch,Ex-Sainik Kissan Party
184,U,ETMK,Whistle,Ezhuchi Tamilargal Munnetra Kazhagam
185,U,GaAP,"Air Conditioner,Bat,Bread,FLUTE,Iron,Whistle,Window",Gareeb Aadmi Party
186,U,GGP,"Axe,Bat,Battery Torch,Coat,Cup &amp; Saucer,Glass Tumbler,Kite,Saw",Gondvana Gantantra Party
187,U,GOA,Ring,Goemcarancho Otrec Astro
188,U,grac,Candles,Gorkha Rashtriya Congress
189,U,GRIP,Slate,Great India Party
190,U,GSRP,Candles,Goa Su-Raj Party
191,U,HEP,Gas Cylinder,Hindustan Ekta Party
192,U,HiPPa,Brief Case,Hindusthan Praja Paksha
193,U,HiSP,Telephone,Himachal Swabhiman Party
194,U,HJP,"Almirah,Coconut,Cup &amp; Saucer,Gas Cylinder,Shuttle,Stool",Hindustan Janta Party
195,U,hkd,Cup &amp; Saucer,Hindustan Kranti Dal
196,U,HKRD,"BUCKET,Pot",Hindustan Krantikari Dal
197,U,HND,"Bat,Battery Torch,Coconut",Hindusthan Nirman Dal
198,U,HSCP,Diesel Pump,Hindustan Swaraj Congress Party
199,U,HVD,Sewing Machine,Hindustan Vikas Dal
200,U,IBSP,Sewing Machine,Indian Bahujan Samajwadi Party
201,U,IBSPK,Lady Purse,Indian Bahujan Sandesh Party (Kanshiram)
202,U,ICSP,"Television,Trumpet",Indian Christian Secular Party
203,U,igp,Gas Cylinder,Indian Gandhiyan Party
204,U,IJP,Gas Cylinder,Indian Justice Party
205,U,IKL,Candles,Indian Krantikari Lehar
206,U,ILP(AP),"Auto- Rickshaw,Candles",Indian Labour Party (Ambedkar Phule)
207,U,INL,Iron,Indian National League
208,U,IOP,Telephone,Indian Oceanic Party
209,U,IPFT,Dao,Indigenousn People's Front Of Tripura
210,U,IPGP,Kite,Indian Peoples Green Party
211,U,IPP,Candles,Indian Peace Party
212,U,ISSP,"Almirah,Auto- Rickshaw,Basket containing Fruits",Indian Savarn Samaj Party
213,U,IUC,Candles,Indian Unity Centre
214,U,IVD,Walking Stick,Inqalab Vikas Dal
215,U,IVP,Balloon,Indians Victory Party
216,U,JanSP,Sewing Machine,Janral Samaj Party
